# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeHO2
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Lepidocrocite
# Scan.number:2
# Sample.id:qwdiiw
# Scan.start_time:2022-06-2
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy I0       Itrans   Irefer   Mutrans
6912     1105580  860533   1092750  0.7553574665268623
6922     1110050  873721   1114180  0.7424539958180594
6932     1118120  892300   1142610  0.7265210259763049
6942     1120180  903922   1162280  0.7137032054005569
6952     1124960  918972   1186600  0.69955221922325
6962     1131140  936252   1213880  0.6843665280732643
6972     1131450  946286   1231890  0.6723730160760415
6982     1130640  954267   1247000  0.6618476032000012
6992     1133070  966598   1268210  0.6495006087195371
7002     1136440  980024   1290090  0.6370008398294554
7012     1143650  999219   1320300  0.621905153995463
7022     1147180  1014990  1346720  0.6073803458598804
7032     1143950  1019260  1357460  0.5992766075998257
7042     1146330  1032930  1380870  0.5862922596200664
7052     1145420  1041260  1396580  0.576100066734824
7062     1148200  1055260  1420090  0.5634767589376108
7072     1149740  1067380  1440300  0.5518373207151892
7082     1150680  1078470  1458300  0.5408450722440593
7082.5   1151170  1080360  1460770  0.5393147799110379
7083     1152030  1081350  1462250  0.5391194471480214
7083.5   1152010  1082060  1462990  0.5383414486879886
7084     1152930  1084460  1466590  0.5367048657417948
7084.5   1153210  1086810  1470090  0.534485645929982
7085     1153430  1086400  1469690  0.5351416367227959
7085.5   1153280  1087090  1470590  0.534258270022845
7086     1153460  1086940  1469650  0.5345978351146101
7086.5   1153730  1088920  1472760  0.5327664793920278
7087     1153560  1090700  1475200  0.5307102319185412
7087.5   1153220  1090870  1475640  0.5301898577139433
7088     1152570  1090340  1474820  0.5300999835909752
7088.5   1149640  1087340  1470920  0.5303423050290071
7089     1148040  1086130  1469230  0.5300198010677296
7089.5   1146880  1085050  1467750  0.530001235117809
7090     1146340  1083740  1465750  0.5308524008607247
7090.5   1148940  1086720  1469300  0.5302976040027055
7091     1152360  1090560  1473760  0.5296565909454363
7091.5   1155980  1095360  1479840  0.5282070271417959
7092     1157170  1097690  1482730  0.5269414161776296
7092.5   1158780  1100570  1486270  0.5255211805706559
7093     1158920  1100100  1485420  0.5261539334351201
7093.5   1158770  1099760  1484620  0.5263614106412192
7094     1159270  1101880  1487200  0.5246356932878902
7094.5   1159390  1102640  1487830  0.5239590221583275
7095     1158960  1102350  1486790  0.5238344077402508
7095.5   1159400  1103200  1487880  0.5233826610134663
7096     1159590  1104510  1489290  0.5222014739484394
7096.5   1159340  1104430  1488850  0.5220361311469631
7097     1159240  1103970  1488280  0.5224175845978277
7097.5   1159720  1105330  1489830  0.5214739374628212
7098     1159390  1106080  1490570  0.5203620285053778
7098.5   1160010  1107440  1491670  0.51956040467967
7099     1160290  1109150  1493280  0.5180574127683338
7099.5   1160370  1110500  1494060  0.5167323698408619
7100     1160560  1110350  1493170  0.5170774245516724
7100.5   1159890  1109680  1490700  0.5171075883161409
7101     1159290  1109850  1490020  0.5163331952079522
7101.5   1159390  1111220  1490490  0.515008242829288
7102     1159320  1111110  1489250  0.5150528359446981
7102.5   1159060  1111790  1488740  0.5140873323217341
7103     1158340  1111120  1486060  0.5140658854254462
7103.5   1158090  1111150  1483770  0.5137854534545467
7104     1157290  1110520  1480340  0.5136423898888131
7104.5   1157150  1110990  1478130  0.5130140676775125
7105     1155900  1109410  1473040  0.5134093916398583
7105.5   1154190  1107480  1466880  0.513710456295305
7106     1150940  1103510  1456330  0.5146011868346599
7106.5   1150840  1103520  1449810  0.5144903862408182
7107     1152640  1106550  1445140  0.5131287593413532
7107.5   1152600  1107250  1435820  0.5123584188712854
7108     1152810  1107950  1421920  0.5118389884665591
7108.5   1154510  1110360  1406260  0.5110315173653964
7109     1157760  1114020  1385820  0.5104775615085584
7109.5   1159850  1116200  1359370  0.5103027516133116
7110     1161190  1117820  1322370  0.509961351963996
7110.5   1161980  1118410  1272120  0.510137373580043
7111     1162300  1118500  1203970  0.510362419976412
7111.5   1162250  1117410  1105510  0.5114386275663922
7112     1162540  1116350  1009260  0.512822673103279
7112.5   1162450  1114200  916945   0.5149593899407505
7113     1162530  1111700  848450   0.5176327749921673
7113.5   1162710  1109010  783902   0.5206091358910553
7114     1162590  1107050  740379   0.5225326108850812
7114.5   1162970  1106950  704416   0.5230143040852344
7115     1163030  1106940  678422   0.5230843109023973
7115.5   1163060  1107470  656227   0.5225613336485687
7116     1163350  1108340  639241   0.521942434802672
7116.5   1163810  1108810  624596   0.5219093670417888
7117     1163720  1107900  606713   0.522768163333221
7117.5   1163680  1106550  586333   0.5241364279494816
7118     1163950  1104810  559057   0.5262215635257312
7118.5   1164410  1102840  527139   0.5287387447528101
7119     1164280  1098870  490068   0.5327742146560946
7119.5   1164740  1095290  458133   0.5369985866164813
7120     1165080  1089760  425626   0.5431806469644275
7120.5   1165460  1083210  396619   0.5505188412529605
7121     1165940  1073540  367814   0.5613493605155575
7121.5   1166660  1062590  343897   0.5739011479727093
7122     1167240  1047640  321013   0.590837232918177
7122.5   1167280  1030640  302537   0.609768724253557
7123     1167080  1010770  285825   0.6320511931151512
7123.5   1167320  989017   270907   0.6574117850465063
7124     1167180  968682   259767   0.6812635688128585
7124.5   1167250  946897   248688   0.7075990530291035
7125     1167720  930512   241854   0.7282206619362913
7125.5   1167290  911519   235397   0.7516094229169888
7126     1168400  892687   229116   0.7768142337156432
7126.5   1167830  872006   222287   0.8033179796897723
7127     1168580  849976   215496   0.8336075541498603
7127.5   1168290  829006   208983   0.8621676734220751
7128     1169030  809403   203172   0.8905327906646401
7128.5   1169620  791639   197733   0.9167412397357532
7129     1170280  775834   192735   0.9406805899148523
7129.5   1170560  761490   187790   0.9625064335751946
7130     1171300  752729   184629   0.976598826796712
7130.5   1171680  746162   182044   0.987092019833489
7131     1171830  741807   180535   0.9939993828687652
7131.5   1172040  738878   179898   0.9987748596014713
7132     1172460  738359   180559   1
7132.5   1173340  739486   182164   0.9991051572880686
7133     1173340  741175   184122   0.9964706722160448
7133.5   1173640  744390   186852   0.9917677078892034
7134     1173520  748096   189837   0.98591484146527
7134.5   1174080  752815   193098   0.9792043968966163
7135     1173870  756521   195505   0.9733270659114067
7135.5   1173690  760030   197533   0.9678062015512804
