  9809     SPring-8 14b2 
 Fe-K_FePO4_Si1  20.05.26 16:04 - 20.05.26 16:08
 FePO4                                                                           
 Ring :   8.0 GeV    99.5 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.07739 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4415
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       16.95500  13.23500    -0.000850       0.05      4415
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.200   101.900
  16.83770  16.84012     0.050     28019     14849
  16.83685  16.83920     0.050     28022     14853
  16.83600  16.83827     0.050     28024     14858
  16.83515  16.83739     0.050     28030     14869
  16.83430  16.83654     0.050     28032     14878
  16.83345  16.83573     0.050     28029     14884
  16.83260  16.83499     0.050     28041     14894
  16.83175  16.83428     0.050     28041     14897
  16.83090  16.83355     0.050     28043     14899
  16.83005  16.83280     0.050     28043     14911
  16.82920  16.83198     0.050     28056     14927
  16.82835  16.83105     0.050     28056     14932
  16.82750  16.83012     0.050     28061     14937
  16.82665  16.82920     0.050     28074     14956
  16.82580  16.82827     0.050     28070     14954
  16.82495  16.82739     0.050     28066     14955
  16.82410  16.82654     0.050     28082     14973
  16.82325  16.82573     0.050     28079     14977
  16.82240  16.82498     0.050     28077     14979
  16.82155  16.82427     0.050     28090     14991
  16.82070  16.82354     0.050     28087     14994
  16.81985  16.82279     0.050     28083     15008
  16.81900  16.82196     0.050     28087     15014
  16.81815  16.82103     0.050     28106     15025
  16.81730  16.82011     0.050     28111     15031
  16.81645  16.81919     0.050     28104     15039
  16.81560  16.81825     0.050     28114     15047
  16.81475  16.81736     0.050     28124     15060
  16.81390  16.81651     0.050     28098     15057
  16.81305  16.81570     0.050     28116     15066
  16.81220  16.81495     0.050     28134     15080
  16.81135  16.81424     0.050     28126     15087
  16.81050  16.81351     0.050     28124     15088
  16.80965  16.81275     0.050     28140     15105
  16.80880  16.81193     0.050     28134     15105
  16.80795  16.81100     0.050     28133     15107
  16.80710  16.81008     0.050     28149     15124
  16.80625  16.80916     0.050     28161     15137
  16.80540  16.80823     0.050     28139     15133
  16.80455  16.80735     0.050     28153     15147
  16.80370  16.80650     0.050     28170     15157
  16.80285  16.80569     0.050     28167     15166
  16.80200  16.80495     0.050     28159     15165
  16.80115  16.80424     0.050     28173     15181
  16.80030  16.80351     0.050     28184     15187
  16.79945  16.80276     0.050     28175     15192
  16.79860  16.80193     0.050     28186     15206
  16.79775  16.80100     0.050     28191     15214
  16.79690  16.80008     0.050     28195     15221
  16.79605  16.79915     0.050     28195     15227
  16.79520  16.79822     0.050     28196     15235
  16.79435  16.79733     0.050     28211     15243
  16.79350  16.79649     0.050     28199     15248
  16.79265  16.79568     0.050     28215     15265
  16.79180  16.79494     0.050     28217     15267
  16.79095  16.79422     0.050     28212     15271
  16.79010  16.79349     0.050     28220     15278
  16.78925  16.79273     0.050     28225     15290
  16.78840  16.79189     0.050     28217     15295
  16.78755  16.79096     0.050     28225     15304
  16.78670  16.79003     0.050     28232     15312
  16.78585  16.78910     0.050     28247     15320
  16.78500  16.78816     0.050     28239     15324
  16.78415  16.78728     0.050     28251     15339
  16.78330  16.78643     0.050     28254     15348
  16.78245  16.78562     0.050     28251     15354
  16.78160  16.78488     0.050     28256     15358
  16.78075  16.78417     0.050     28262     15367
  16.77990  16.78344     0.050     28263     15376
  16.77905  16.78268     0.050     28273     15385
  16.77820  16.78184     0.050     28277     15398
  16.77735  16.78090     0.050     28278     15404
  16.77650  16.77998     0.050     28279     15412
  16.77565  16.77905     0.050     28290     15425
  16.77480  16.77813     0.050     28297     15433
  16.77395  16.77725     0.050     28291     15437
  16.77310  16.77641     0.050     28295     15443
  16.77225  16.77560     0.050     28305     15456
  16.77140  16.77487     0.050     28304     15458
  16.77055  16.77416     0.050     28303     15464
  16.76970  16.77342     0.050     28325     15479
  16.76885  16.77266     0.050     28321     15485
  16.76800  16.77181     0.050     28324     15494
  16.76715  16.77088     0.050     28329     15502
  16.76630  16.76995     0.050     28334     15518
  16.76545  16.76903     0.050     28331     15518
  16.76460  16.76810     0.050     28334     15526
  16.76375  16.76722     0.050     28338     15538
  16.76290  16.76638     0.050     28347     15542
  16.76205  16.76557     0.050     28343     15549
  16.76120  16.76484     0.050     28355     15557
  16.76035  16.76413     0.050     28366     15566
  16.75950  16.76339     0.050     28355     15574
  16.75865  16.76263     0.050     28369     15579
  16.75780  16.76177     0.050     28374     15597
  16.75695  16.76084     0.050     28371     15599
  16.75610  16.75991     0.050     28367     15602
  16.75525  16.75897     0.050     28380     15616
  16.75440  16.75804     0.050     28385     15621
  16.75355  16.75717     0.050     28383     15626
  16.75270  16.75633     0.050     28389     15636
  16.75185  16.75552     0.050     28394     15647
  16.75100  16.75480     0.050     28398     15651
  16.75015  16.75409     0.050     28395     15663
  16.74930  16.75334     0.050     28410     15674
  16.74845  16.75258     0.050     28406     15683
  16.74760  16.75173     0.050     28408     15683
  16.74675  16.75079     0.050     28420     15695
  16.74590  16.74986     0.050     28428     15712
  16.74505  16.74894     0.050     28419     15706
  16.74420  16.74801     0.050     28424     15717
  16.74335  16.74714     0.050     28436     15730
  16.74250  16.74630     0.050     28438     15734
  16.74165  16.74550     0.050     28434     15741
  16.74080  16.74477     0.050     28443     15749
  16.73995  16.74406     0.050     28446     15766
  16.73910  16.74331     0.050     28450     15766
  16.73825  16.74255     0.050     28465     15778
  16.73740  16.74168     0.050     28467     15791
  16.73655  16.74075     0.050     28474     15800
  16.73570  16.73983     0.050     28474     15805
  16.73485  16.73889     0.050     28472     15815
  16.73400  16.73797     0.050     28480     15815
  16.73315  16.73710     0.050     28482     15828
  16.73230  16.73625     0.050     28489     15840
  16.73145  16.73545     0.050     28494     15844
  16.73060  16.73472     0.050     28500     15856
  16.72975  16.73401     0.050     28496     15865
  16.72890  16.73326     0.050     28509     15869
  16.72805  16.73248     0.050     28507     15880
  16.72720  16.73161     0.050     28511     15889
  16.72635  16.73067     0.050     28509     15893
  16.72550  16.72975     0.050     28514     15904
  16.72465  16.72882     0.050     28513     15914
  16.72380  16.72790     0.050     28518     15915
  16.72295  16.72704     0.050     28529     15930
  16.72210  16.72620     0.050     28526     15938
  16.72125  16.72541     0.050     28534     15946
  16.72040  16.72469     0.050     28539     15952
  16.71955  16.72397     0.050     28543     15964
  16.71870  16.72322     0.050     28549     15972
  16.71785  16.72245     0.050     28545     15975
  16.71700  16.72158     0.050     28557     15983
  16.71615  16.72064     0.050     28551     15994
  16.71530  16.71972     0.050     28564     16000
  16.71445  16.71879     0.050     28558     16012
  16.71360  16.71787     0.050     28580     16019
  16.71275  16.71700     0.050     28572     16029
  16.71190  16.71616     0.050     28575     16033
  16.71105  16.71538     0.050     28576     16045
  16.71020  16.71466     0.050     28583     16052
  16.70935  16.71394     0.050     28585     16063
  16.70850  16.71319     0.050     28600     16070
  16.70765  16.71241     0.050     28592     16074
  16.70680  16.71154     0.050     28598     16081
  16.70595  16.71060     0.050     28591     16090
  16.70510  16.70968     0.050     28608     16103
  16.70425  16.70874     0.050     28603     16112
  16.70340  16.70782     0.050     28609     16120
  16.70255  16.70695     0.050     28616     16128
  16.70170  16.70611     0.050     28619     16142
  16.70085  16.70532     0.050     28628     16142
  16.70000  16.70460     0.050     28632     16150
  16.69915  16.70387     0.050     28638     16164
  16.69830  16.70313     0.050     28635     16168
  16.69745  16.70235     0.050     28640     16178
  16.69660  16.70146     0.050     28643     16187
  16.69575  16.70052     0.050     28644     16196
  16.69490  16.69960     0.050     28646     16193
  16.69405  16.69866     0.050     28650     16206
  16.69320  16.69775     0.050     28657     16220
  16.69235  16.69689     0.050     28657     16223
  16.69150  16.69606     0.050     28664     16239
  16.69065  16.69527     0.050     28674     16244
  16.68980  16.69456     0.050     28667     16252
  16.68895  16.69384     0.050     28669     16257
  16.68810  16.69309     0.050     28675     16269
  16.68725  16.69230     0.050     28680     16281
  16.68640  16.69140     0.050     28677     16284
  16.68555  16.69047     0.050     28693     16298
  16.68470  16.68955     0.050     28698     16309
  16.68385  16.68861     0.050     28697     16314
  16.68300  16.68770     0.050     28705     16320
  16.68215  16.68684     0.050     28717     16334
  16.68130  16.68600     0.050     28714     16342
  16.68045  16.68523     0.050     28703     16344
  16.67960  16.68451     0.050     28716     16358
  16.67875  16.68378     0.050     28727     16365
  16.67790  16.68303     0.050     28722     16373
  16.67705  16.68224     0.050     28734     16380
  16.67620  16.68133     0.050     28735     16391
  16.67535  16.68039     0.050     28730     16393
  16.67450  16.67946     0.050     28742     16403
  16.67365  16.67852     0.050     28760     16419
  16.67280  16.67761     0.050     28753     16430
  16.67195  16.67675     0.050     28752     16430
  16.67110  16.67592     0.050     28763     16444
  16.67025  16.67515     0.050     28767     16455
  16.66940  16.67444     0.050     28770     16463
  16.66855  16.67371     0.050     28772     16467
  16.66770  16.67296     0.050     28781     16481
  16.66685  16.67215     0.050     28778     16483
  16.66600  16.67124     0.050     28772     16485
  16.66515  16.67030     0.050     28789     16503
  16.66430  16.66938     0.050     28790     16511
