*Spectrum*
- Title: Fe K edge XAS transmission of Fe metallic reference foil at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: transmission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 7004.290158-7963.25018 eV (Resol. 0.36 eV)
- Observation geometry: 
- Spatial observation mode: single spot
- Data analysis: raw averaged spectra
- Quality flag: 4
- File name: XAS_trans_FeFoil_300K.data.txt
- Comments: 

*Sample*
- Name: Fe metallic foil
- Origin(s): commercial
- Type: compact
- Temperature: 293.0 +/- 2.0 K
- Pressure: 

*Experiment*
- Title: Fe K edge XAS transmission of Fe metallic foil reference at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Experimentalist(s): Testemale Denis
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_006

*Data reference*
- Testemale, Denis (2016): Fe K edge XAS transmission of Fe metallic foil reference at ambient conditions. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_006




energy(ev)	transmission(au)
7237.650164	1.88889
7239.850164	1.87586
7242.040164	1.88668
7244.290164	1.91330
7246.460164	1.94495
7248.820164	1.97097
7251.040164	1.97560
7253.360164	1.96092
7255.670164	1.94078
7258.030164	1.93256
7260.360164	1.94186
7262.730164	1.95973
7265.150164	1.97541
7267.560164	1.98885
7269.960164	2.00873
7272.420165	2.04176
7274.920165	2.07320
7277.400165	2.08778
7279.880165	2.09926
7282.440165	2.11991
7284.970165	2.14380
7287.530165	2.16338
7290.110165	2.16399
7292.730165	2.12940
7295.360165	2.06922
7297.960165	2.00528
7300.640165	1.94810
7303.320165	1.90212
7306.000165	1.86965
7308.720165	1.85014
7311.460165	1.84288
7314.220165	1.84382
7316.970166	1.84221
7319.800166	1.83878
7322.540166	1.83416
7325.430166	1.83110
7328.240166	1.82847
7331.120166	1.82151
7334.010166	1.80738
7336.920166	1.79154
7339.820166	1.78455
7342.770166	1.79252
7345.730166	1.81843
7348.700166	1.85282
7351.690166	1.88618
7354.720166	1.91591
7357.770166	1.94146
7360.820167	1.96253
7363.890167	1.97813
7366.950167	1.98218
7370.080167	1.97064
7373.230167	1.93943
7376.360167	1.88955
7379.550167	1.82269
7382.740167	1.75649
7385.880167	1.71383
7389.160167	1.69830
7392.420167	1.70211
7395.630167	1.71313
7398.960167	1.71967
7402.230167	1.71724
7405.560168	1.71478
7408.900168	1.71276
7412.230168	1.71421
7415.600168	1.71368
7419.040168	1.70920
7422.450168	1.70021
7425.840168	1.68393
7429.300168	1.67426
7432.800168	1.67281
7436.250168	1.67440
7439.760168	1.68451
7443.350168	1.70144
7446.830168	1.72010
7450.430169	1.73176
7454.000169	1.73629
7457.590169	1.73392
7461.250169	1.72694
7464.850169	1.71687
7468.510169	1.69859
7472.210169	1.67424
7475.860169	1.65468
7479.600169	1.63653
7483.350169	1.62355
7487.100169	1.60383
7490.870169	1.58671
7494.620170	1.57207
7498.480170	1.56558
7502.280170	1.56817
7506.130170	1.57267
7509.990170	1.57199
7513.920170	1.56741
7517.800170	1.56214
7521.670170	1.55581
7525.650170	1.55431
7529.620170	1.55333
7533.620170	1.55383
7537.580171	1.54848
7541.570171	1.54350
7545.650171	1.53575
7549.670171	1.53158
7553.800171	1.52903
7557.820171	1.53485
7562.000171	1.53898
7566.090171	1.54063
7570.240171	1.53310
7574.410171	1.52266
7578.620171	1.50565
7582.820172	1.48896
7587.030172	1.47648
7591.260172	1.46593
7595.570172	1.46316
7599.830172	1.45969
7604.120172	1.45374
7608.420172	1.44686
7612.810172	1.43680
7617.120172	1.42928
7621.520172	1.42598
7625.920173	1.42514
7630.340173	1.41998
7634.740173	1.41325
7639.210173	1.40183
7643.680173	1.39095
7648.170173	1.38272
7652.680173	1.37662
7657.210173	1.37047
7661.770173	1.36698
7666.310173	1.36429
7670.880174	1.36378
7675.530174	1.36220
7680.140174	1.35899
7684.730174	1.35516
7689.410174	1.34990
7694.100174	1.34211
7698.810174	1.33270
7703.470174	1.32445
7708.260174	1.31632
7713.000174	1.30780
7717.750175	1.29820
7722.540175	1.28939
7727.380175	1.28282
7732.170175	1.27543
7737.020175	1.26953
7741.910175	1.26307
7746.810175	1.25588
7751.670175	1.25064
7756.600175	1.24466
7761.550176	1.23622
7766.550176	1.22781
7771.460176	1.21957
7776.500176	1.21191
7781.480176	1.20347
7786.550176	1.19685
7791.580176	1.19006
7796.710176	1.18378
7801.750176	1.17858
7806.840177	1.17349
7812.040177	1.16717
7817.180177	1.16115
7822.290177	1.15510
7827.520177	1.14836
7832.710177	1.14224
7837.950177	1.13614
7843.180177	1.12971
7848.480178	1.12254
7853.710178	1.11645
7859.040178	1.10902
7864.370178	1.10098
7869.730178	1.09356
7875.030178	1.08579
7880.470178	1.07838
7885.820178	1.07076
7891.240179	1.06322
7896.670179	1.05537
7902.140179	1.04782
7907.560179	1.04041
7913.050179	1.03295
7918.570179	1.02670
7924.080179	1.01955
7929.570179	1.01238
7935.170180	1.00562
7940.780180	1.00042
7946.330180	0.99458
7952.010180	0.98927
7957.600180	0.98219
