# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Puri A.
# Publication.affiliation: CNR-IOM; ESRF
# Facility.name:ESRF
# Sample.temperature:79 K
# Sample.prep:powder, liquids
# Sample.formula:FeO
# Sample.name:Iron (II) Oxide
# Scan.number:scan1
# Sample.id:xvotm2
# Scan.start_time:2003-08-26
# Element.symbol:Fe
# Facility.energy:6.03 GeV
# Facility.xray_source:Bending magnet (0.85 T)
# Beamline.name:BM08-GILDA
# Beamline.energy_range:4.9 - 32.0
# Beamline.scan_mode:Transmission
# Beamline.flux:1e10-1e11 ph/s
# Beamline.spot_size:1 mm x 2 mm
# Beamline.website:https://www.esrf.fr/UsersAndScience/Experiments/CRG/BM08
# Beamline.detector:Ionization chamber
# Mono.name:Si(111), Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:Mutrans
# Energy   Mutrans
6999.1236  0.5866669299403303
7009.2071  0.5752977274811845
7019.3402  0.5637617231091432
7029.4126  0.5519065259596325
7039.621   0.5404562713060581
7049.8942  0.5294241759109694
7060.0531  0.5183361879417264
7070.2035  0.5075853866555922
7080.3304  0.4969208924212855
7090.6784  0.48677782335526143
7100.0399  0.47920963441479364
7101.1513  0.47858788924161894
7102.1155  0.4778639132063165
7103.0358  0.4774708339490541
7104.1877  0.47692297525567273
7105.1036  0.47659040647755124
7106.0445  0.4765651672382254
7107.1088  0.47663515238449516
7108.1095  0.4770532320239291
7109.3275  0.4782920248462398
7110.4177  0.4810468440281889
7111.459   0.4926515596416761
7112.5006  0.5013782854005412
7113.4833  0.507521691414391
7114.4861  0.5137157351449959
7115.4745  0.5267332908273757
7116.6362  0.5528804261975979
7117.6697  0.597832228008581
7118.7234  0.6634664319709346
7119.6439  0.7225774470437766
7120.7527  0.7610509651102947
7121.7431  0.8003789548375262
7122.7784  0.849422140848013
7123.829   0.9002502267550588
7124.7411  0.9337487483885104
7125.8072  0.9510183595163239
7126.9035  0.9731725994537497
7128.0498  0.9960639525699757
7129.0278  1
7130.0557  0.9775912179549242
7131.1088  0.9369645618786531
7132.0232  0.9076751810218756
7133.1217  0.8879283823446984
7134.166   0.8743311999673881
7135.2604  0.8634161445780063
7136.3751  0.8522928057498969
7137.3607  0.8447567032871841
7138.4364  0.8414918444613165
7139.4127  0.844809411099278
7140.5838  0.8528457600625743
7141.6207  0.8631109647536014
7142.6879  0.870272778055206
7143.6756  0.8685061905404925
7144.8833  0.8619024271708612
7145.9117  0.8499317027776222
7146.9105  0.8394051883595673
7147.8847  0.832181351816843
7149.0091  0.8269908266113624
7149.9689  0.8219451284605626
7150.884   0.8187416559234026
7151.9045  0.8157326927290609
7153.1406  0.8132928465148513
7154.1718  0.8108141462035089
7155.2234  0.8097517891993253
7156.4859  0.8091841849811717
7157.4933  0.8102578478906685
7158.516   0.8115015770941721
7160.9689  0.8156354778671777
7163.0523  0.8179875042675812
7165.0868  0.8262509267657595
7167.0975  0.8407550497587225
7169.331   0.854319906801123
7171.2893  0.8623925620519041
7173.3042  0.864967282939357
7175.2599  0.8636567533516436
7177.2926  0.8582501420403879
7179.4025  0.8475018089448502
7181.4885  0.8365005261226924
7183.4749  0.824010367037458
7185.584   0.8164684523839856
7187.5629  0.8087286047684806
7189.6445  0.8011205266832105
7191.6464  0.7932407087751661
7193.6496  0.7889279836124884
7195.6338  0.7858973640361382
7197.7565  0.7856429015475396
7199.8807  0.7883479588223006
7202.0166  0.7907418648437939
7204.047   0.7919545426172121
7206.14    0.7904002991128528
7208.2395  0.787399138585558
7210.2435  0.7849151834168167
7212.402   0.7823946034843845
7214.4088  0.7820223047995639
7216.4732  0.7836407212594333
7218.6208  0.7857606581247103
7220.7545  0.7876000174524962
7222.8642  0.7866570890255647
7224.9548  0.7827036846423131
7227.0981  0.7769393449326615
7229.0993  0.7701546074589676
7231.1223  0.7627116592865114
7233.1312  0.7551738848237172
7235.2083  0.7482051477220035
7237.3589  0.7430992575682686
7239.3771  0.7411520144256982
7241.3709  0.7424574483941156
7243.4536  0.7460981887621212
7245.6823  0.7501922003903244
7247.737   0.7527648511824385
7249.7621  0.7526570469867057
7251.8764  0.7502617078222853
7254.075   0.746360453917767
7256.068   0.7421865047618563
7258.1349  0.7394779442488293
7260.2499  0.7372605536645146
7262.2833  0.736413645813694
7264.4271  0.7362491528532922
7266.4944  0.7359054374079604
7268.6151  0.7352834533776313
7270.6489  0.7349595630761235
7272.7152  0.7337472833979628
7274.7673  0.7315705781489653
7276.8052  0.7282605753208967
7278.907   0.7243404517011724
7280.9476  0.7192918076454672
7283.1044  0.7139375060510479
7285.1583  0.7078970474707893
7287.1141  0.7018646304147325
7289.1968  0.695830700596697
7291.4275  0.6901181132705213
7293.5341  0.6850182741647006
7295.6631  0.6812586625528034
7297.7883  0.6785344170866308
7299.915   0.6778298680998947
7301.9696  0.6778691999113363
7304.0045  0.6789103782478204
7306.0565  0.6797412030502378
7308.2153  0.6810285634939642
7310.365   0.6811256191177445
7312.6217  0.6814127254174587
7314.7797  0.6813378038899958
7317.0079  0.6801119093540284
7319.0898  0.6787639588121094
7321.3528  0.6765893236584509
7323.4376  0.6738922282888401
7325.6403  0.6713726834040775
7327.712   0.668881403282598
7329.8806  0.6663874957324188
7331.9817  0.6637048910301814
7334.3711  0.6611063640463295
7336.5018  0.6582247913343898
7338.8681  0.6554880456771315
7341.0711  0.6520586938908621
7343.3929  0.648871861735466
7345.4925  0.6455680691934146
7347.5402  0.6425719246663644
7349.7387  0.6400533352102199
7352.0135  0.6378481263407848
7354.2259  0.6354620229863387
7356.3809  0.6336671707083421
7358.4893  0.631145476109189
7360.7652  0.6286064245568085
7363.0267  0.6255050236436736
7365.3059  0.6223831606343027
7367.5545  0.6189581082768145
7369.6275  0.6161540049019859
7371.7825  0.6138364535508825
7373.826   0.611747727353794
7375.9624  0.6095566906755263
7378.0625  0.6080030045045275
7380.2556  0.6060723221246693
7382.4449  0.6043898919473929
7384.6034  0.6024045112791534
7386.7795  0.601069697880732
7388.8815  0.600088233832874
7391.0768  0.5989891724459482
7393.3278  0.5975131148501633
7395.4342  0.5961040964957427
7397.5961  0.5944557432725086
7399.7379  0.5925951256579718
7401.8974  0.5905383267005355
7404.0476  0.5882599479227709
7406.2318  0.5856432677951766
7408.4338  0.5833881377804501
7410.7136  0.5804273441122667
7413.8503  0.5757116669299404
7416.9466  0.5716374008265094
7420.0568  0.5664214771435997
7423.1263  0.5622350277966033
7426.1004  0.5586863270521334
7429.1484  0.5559166987266048
7432.1994  0.5530142658231718
7435.1711  0.5508880390528262
7438.2224  0.5479431691949431
7441.2931  0.5452086528711266
7444.2953  0.5417474534642568
7447.416   0.5394568929716124
7450.4571  0.5355371674471456
7453.4459  0.5330263010389968
7456.5204  0.5310985645640443
7459.5371  0.5291592037075726
7462.6009  0.5268360790228641
7465.6676  0.524931272834744
7468.7983  0.5223126022308622
7471.9376  0.5198675011592534
7474.9689  0.5177874534387787
7478.0253  0.515230407980759
7481.0569  0.5122727194555842
7484.1415  0.5087482229027706
7487.2624  0.5048948996672561
7490.4032  0.5007116350823196
7493.5192  0.4964521750650966
7496.6046  0.4924923215386733
7499.6202  0.48847840667628045
7502.734   0.4850750903198521
7505.8115  0.4821005225557589
7508.9424  0.47964690224563944
7511.9641  0.4770385024994012
7515.0505  0.4747121930526326
7518.1961  0.47227999026736717
7521.2715  0.4693708693636082
7524.3218  0.4664751244605013
7527.4144  0.4633945041198082
7530.5495  0.4600929409111987
7533.7273  0.4567159784608173
7536.8063  0.4534627440164691
7539.9336  0.4501663560462072
7543.1037  0.4462185249965605
7546.2541  0.4436666547768882
7549.3508  0.44118206265573484
7552.5016  0.4379112324010048
7555.7011  0.43516270312412425
7558.8126  0.43277293729330896
7561.9612  0.4298613481989534
7565.0444  0.4270838375873262
7568.2678  0.42506135444108695
7571.3627  0.42188280266704714
7574.5522  0.4190823617685876
7577.7277  0.4160845452414559
7580.9464  0.41264078240686486
7584.0822  0.4093026740536161
7587.3303  0.40583940455140716
7590.4376  0.4027138790656672
7593.5595  0.3989879463125552
7596.8401  0.39613631036398017
7600.0085  0.39350569690237297
7603.1685  0.39000389177923733
7606.3778  0.38666084704479553
7609.7408  0.3835957524191453
7612.9913  0.3805427598893232
7616.2045  0.3779170031898577
7619.4614  0.37514626019760805
7622.6519  0.3713175392490076
7625.9094  0.3690165486606164
7629.147   0.3659936521322619
7632.3935  0.3634153483874913
7635.5849  0.361082271321345
7638.7385  0.3579676536456609
7642.0121  0.3556843384867029
7645.2069  0.352669165006344
7648.4987  0.3498074970572798
7651.7996  0.34752864056520616
7655.0216  0.344871354721346
7658.2997  0.3422815062141078
7661.634   0.33970957199345725
7664.901   0.33699257186097115
7668.1005  0.3341074162917141
7671.4152  0.3312525159620274
7674.7273  0.3277605039822265
7677.9482  0.325380053580437
7681.2077  0.32215994066151327
7684.5415  0.31904627841444716
7687.8193  0.3164108081906984
7691.1539  0.31323456536915206
7694.5393  0.31074073743802444
7697.8092  0.30824762607836037
7701.0168  0.30518022250021665
7704.46    0.3024728562729621
7707.7755  0.2994794984127146
7714.9425  0.2934108546882245
7718.903   0.28990363546958675
7722.994   0.2865051758753
7727.072   0.2832056827620295
