# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Puri A.
# Publication.affiliation: CNR-IOM; ESRF
# Sample.reference:Fe foil
# Facility.name:ESRF
# Sample.temperature:300 K
# Sample.prep:powder, liquids
# Sample.formula:FeO
# Sample.name:Iron (II) Oxide
# Scan.number:scan1
# Sample.id:q2cv7k
# Scan.start_time:2008-08-25
# Element.symbol:Fe
# Facility.energy:6.03 GeV
# Facility.xray_source:Bending magnet (0.85 T)
# Beamline.name:BM08-GILDA
# Beamline.energy_range:4.9 - 32.0
# Beamline.scan_mode:Transmission
# Beamline.flux:1e10-1e11 ph/s
# Beamline.spot_size:1 mm x 2 mm
# Beamline.website:https://www.esrf.fr/UsersAndScience/Experiments/CRG/BM08
# Beamline.detector:Ionization chamber
# Mono.name:Si(111), Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:Mutrans
# Column.3:Murefer
# Energy   Mutrans                Murefer
6899.7379  0.44999850395503144    -1.2934118
6909.8206  0.4338086891144531     -1.2999195
6919.974   0.41903210972530597    -1.3054993
6930.0869  0.404458820525681      -1.3117695
6940.2161  0.3893554713619481     -1.3185647
6950.456   0.3744320225874212     -1.3253023
6960.7404  0.36037021556047016    -1.3320158
6971.0103  0.34622473113620883    -1.3386397
6981.3119  0.33148412151345524    -1.3452972
6991.6777  0.317128970987903      -1.3518996
7002.0523  0.3032775174920832     -1.3584807
7012.4499  0.2891053264185263     -1.3650551
7022.838   0.27470160897475693    -1.3622977
7033.2753  0.26099676707812675    -1.3543499
7043.7949  0.2471317024714691     -1.3463903
7054.3092  0.23393050604733345    -1.3386094
7064.8404  0.22168781023527168    -1.3314689
7075.4335  0.20910992363308048    -1.3240832
7086.1025  0.19733426765451734    -1.3173215
7090.4796  0.19118000045200917    -1.3137302
7091.5135  0.18990340886708326    -1.3129221
7092.5796  0.18908318476738545    -1.3124033
7093.6395  0.18825120561741845    -1.311945
7094.713   0.18726049891732663    -1.3114026
7095.7788  0.18693058415122146    -1.3112645
7096.825   0.18623887506016734    -1.3107908
7097.8681  0.18545015243290114    -1.3104085
7098.8982  0.18493119446071402    -1.3100563
7099.938   0.18423752619461503    -1.309749
7100.9928  0.18391696047433795    -1.3094119
7102.0192  0.18366756092827774    -1.3091561
7103.0873  0.18346806878862315    -1.309049
7104.1464  0.18348302038764966    -1.3090487
7105.1858  0.1840488954464372     -1.309465
7106.2134  0.18407618641109705    -1.3094219
7107.24    0.18520006545700063    -1.3100478
7108.2696  0.18714650586405915    -1.3112828
7109.26    0.19068735385695942    -1.313221
7109.7315  0.19242981664465544    -1.3142065
7110.0591  0.193223987153406      -1.3146535
7110.3907  0.19521425121278352    -1.3158718
7110.6721  0.19837144461181336    -1.317732
7110.9997  0.2020580621023489     -1.3198785
7111.3227  0.2078215254406475     -1.2973849
7111.6565  0.2142153791282456     -1.2673918
7111.9996  0.22220637293530066    -1.2269197
7112.3415  0.22776578991125276    -1.1900284
7112.684   0.23251507082041334    -1.1555959
7113.0293  0.23672191802834056    -1.1249124
7113.3719  0.24084752821489055    -1.0989386
7113.7159  0.24508957183064106    -1.0748655
7114.0526  0.2498138302936148     -1.0544522
7114.402   0.25398420934851423    -1.0340829
7114.718   0.25773285019639064    -1.0159347
7115.0467  0.2625627322543262     -1.0014676
7115.3473  0.27093287798979776    -0.98758586
7115.6478  0.28119299177094736    -0.97821554
7115.9525  0.29414219360137567    -0.97067538
7116.2511  0.3086806472938435     -0.96513665
7116.5719  0.32587637821973026    -0.95975545
7116.8934  0.347483518288271      -0.95234412
7117.1941  0.36817202867547516    -0.94372587
7117.4949  0.3907086598168292     -0.93152215
7117.8386  0.4152510050032215     -0.91545653
7118.1395  0.44122475097457475    -0.89557537
7118.4403  0.47132988154313654    -0.87023201
7118.7835  0.4984874160709754     -0.84579775
7119.1153  0.5310515691070141     -0.81561471
7119.4679  0.5593449611457239     -0.78703709
7119.8186  0.5889266482623906     -0.75431779
7120.1599  0.613449040797668      -0.72458113
7120.4972  0.6365320239903451     -0.69225055
7120.8204  0.6566963863100679     -0.66165234
7121.106   0.6726094247111962     -0.63427138
7121.4333  0.6899084419705878     -0.60354454
7121.7942  0.7093087775800571     -0.57146305
7122.1384  0.7306614826789574     -0.5398292
7122.4396  0.7500947805492689     -0.51340341
7122.7408  0.7714133547565984     -0.48847653
7123.0522  0.7889067771748265     -0.46984635
7123.3487  0.8119053096116229     -0.44827367
7123.6446  0.8349403102014471     -0.42843207
7123.9459  0.8580038391296437     -0.4086812
7124.2473  0.8797260721391964     -0.38998453
7124.5527  0.8979614547698044     -0.37200678
7124.8568  0.9119315414703134     -0.35628965
7125.1515  0.9220242317138584     -0.34241568
7125.4913  0.9309367939648173     -0.3273474
7125.8406  0.939832359512975      -0.31264168
7126.1845  0.9468862317759894     -0.29828418
