# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Puri A.
# Publication.affiliation: CNR-IOM; ESRF
# Sample.reference:Fe foil
# Facility.name:ESRF
# Sample.temperature:300 K
# Sample.prep:powder, liquids
# Sample.formula:α-FeO(OH)
# Sample.name:Goethite
# Scan.number:scan1
# Sample.id:sdehbq
# Scan.start_time:2007-12-08
# Element.symbol:Fe
# Facility.energy:6.03 GeV
# Facility.xray_source:Bending magnet (0.85 T)
# Beamline.name:BM08-GILDA
# Beamline.energy_range:4.9 - 32.0
# Beamline.scan_mode:Transmission
# Beamline.flux:1e10-1e11 ph/s
# Beamline.spot_size:1 mm x 2 mm
# Beamline.website:https://www.esrf.fr/UsersAndScience/Experiments/CRG/BM08
# Beamline.detector:Ionization chamber
# Mono.name:Si(111), Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:Mutrans
# Column.3:Murefer
# Energy   Mutrans                Murefer
6999.9869  0.03168510445825525    -0.56401955
7010.0858  0.02796984223434414    -0.57108895
7020.1735  0.024263866927737226   -0.57859538
7030.2914  0.020615965810672137   -0.58562749
7040.4779  0.01713225739154424    -0.58692817
7050.7031  0.013700555709319356   -0.59977805
7060.956   0.010350950376063277   -0.60660587
7071.1964  0.007045612681956781   -0.61330394
7081.4684  0.003824971673663977   -0.61946443
7091.7716  0.0012694596826935984  -0.6247281
7102.1061  0                      -0.62555729
7107.842   0.000980512728970851   -0.61359699
7108.8703  0.00161016572219138    -0.60442634
7109.899   0.00264968133243446    -0.58219697
7110.9708  0.004805051013160657   -0.52309901
7112.0001  0.010130293220916955   -0.40265664
7113.0311  0.02434720153234634    -0.30972112
7114.0596  0.03491596107558252    -0.24383343
7115.0898  0.032719419394808      -0.19981472
7116.1553  0.03094456567242333    -0.18177851
7117.1942  0.034506779499162255   -0.15208072
7118.2267  0.03973840958049291    -0.086665315
7119.2568  0.047928356212665356   0.0018834333
7120.2947  0.06711735622316573    0.10019022
7121.3207  0.10599400179061674    0.20283509
7122.3531  0.17369123313025284    0.28916158
7123.3859  0.27594765933031573    0.36569572
7124.4189  0.3725748701367015     0.42189598
7125.4522  0.4764263243837499     0.46862551
7126.4718  0.6033693765610689     0.51882809
7127.563   0.7302976309643554     0.57564495
7128.5979  0.8529201993274588     0.64523689
7129.6319  0.9471353562501102     0.71619429
7130.6668  0.992277866348828      0.76646576
7131.6589  1                      0.7657029
7132.652   0.9924412170329294     0.71756803
7133.6871  0.9800341555482868     0.66503538
7134.7233  0.9556551989500384     0.62165679
7135.7732  0.9287132203403597     0.59611458
7136.8397  0.9063702408139757     0.58543869
7137.8768  0.8852050095662678     0.58783475
7138.9575  0.8581491671591622     0.60005215
7139.9946  0.8258413191741608     0.61514858
7141.0516  0.7964905736303456     0.62370817
7142.1183  0.7755447736646998     0.62088501
7143.1537  0.7593820648675572     0.61314381
7144.2319  0.7479252717178647     0.60683837
7145.2753  0.7398911121947774     0.60730711
7146.3576  0.7334392526889465     0.61633667
7147.422   0.7238936006304604     0.63454166
7148.482   0.7080782380186881     0.65592296
7149.5226  0.6834303805872819     0.67367577
7150.5663  0.6582599117906306     0.68178342
7151.6048  0.636024066142267      0.68677709
7152.6484  0.6178899113468398     0.69017821
7153.6883  0.6046061462948519     0.69057307
7154.7719  0.5935479785922441     0.68747913
7155.8579  0.583174832483824      0.68091616
7156.9028  0.5737757106448181     0.67372934
7157.946   0.5649619741598831     0.66911054
7158.9895  0.5594778761360005     0.66694977
7160.0768  0.5571703434108851     0.66620361
7161.1305  0.5574516255621929     0.66346688
7162.209   0.5598186193231675     0.65993977
7163.2973  0.5644033970404304     0.65526653
7164.3438  0.5711943376847949     0.64979408
7165.3879  0.5798524563921035     0.64517223
7166.4336  0.5911523130219124     0.64168438
7167.5233  0.6038795131198634     0.63912292
7168.6133  0.6169200661902123     0.63660594
7169.6642  0.629585972633956      0.63304562
7170.7801  0.6411004065837161     0.62734145
7171.8855  0.6530820034302653     0.61959142
7172.9769  0.6652580249862157     0.60905586
7174.0659  0.6780721630126899     0.59719353
7175.117   0.6922155579441233     0.5827051
7176.1794  0.7018571729573685     0.56715563
7177.2585  0.7064674215931576     0.55420953
7178.3544  0.7089413938310699     0.54295734
7179.4123  0.7096391261194078     0.5363118
7180.5621  0.7092304237479206     0.53327194
7181.6713  0.7079553820087994     0.53285957
7182.7713  0.7061889354230863     0.53502107
7183.8224  0.7043085265986228     0.53916272
7184.8738  0.702716830078438      0.54645173
7186.0063  0.7018028599693349     0.55593488
7187.1083  0.700841959352327      0.56752019
7188.1682  0.7000345801461458     0.57890546
7189.2579  0.6991368955752273     0.58980761
7190.3117  0.6980096712223247     0.60216568
