# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Puri A.
# Publication.affiliation: CNR-IOM; ESRF
# Facility.name:ESRF
# Sample.temperature:300 K
# Sample.prep:powder, liquids, in-situ cells
# Sample.formula:α-FeO(OH)
# Sample.name:Goethite_mineral
# Scan.number:scan1
# Sample.id:ybmhmm
# Scan.start_time:mineral-2018-07
# Element.symbol:Fe
# Facility.energy:6.03 GeV
# Facility.xray_source:Bending magnet (0.85 T)
# Beamline.name:BM08-LISA
# Beamline.energy_range:2.5 - 72.0
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:Si(111): 1.1e-4; Si(311): 1.9e-5
# Beamline.flux:Si(111): 1e11 ph/s; Si(311): 1e10 ph/s
# Beamline.spot_size:170 um x 180 um (focused); 1 mm x 2 mm (unfocused)
# Beamline.website:https://www.esrf.fr/UsersAndScience/Experiments/CRG/BM08
# Beamline.detector:Ionization chamber
# Mono.name:Si(111), Si(311)
# Element.edge:K
# Column.1:Energy
# Column.2:Mutrans
# Energy   Mutrans
7012.4026  0.02796955526410361
7017.3991  0.02620474778324493
7022.403   0.024437879690211824
7027.3977  0.02261201321786548
7032.3999  0.020881034120204058
7037.3927  0.019098711435862583
7042.393   0.01722906077075766
7047.4006  0.015495673809610887
7052.3989  0.01373282772626643
7057.4046  0.011977781441597115
7062.4009  0.010278524323576774
7067.4046  0.008590966903569166
7072.3988  0.006997548932346098
7077.4003  0.0054280722218313345
7082.3923  0.0038587786768432193
7087.3917  0.0024865216311656213
7092.3984  0.0012360811085342623
7093.4006  0.0010768835542641418
7094.4031  0.0008463888187581091
7095.5929  0.0006799295145473209
7096.5961  0.00047365078803954464
7097.5996  0.00033981021136058394
7098.6033  0.00023655827762678047
7099.7946  0.00014686822475965187
7100.799   4.766119640531219e-05
7101.8037  3.1168667112771224e-05
7102.9961  0
7104.0015  8.119193562176423e-05
7105.1946  0.0002611139060389859
7106.2006  0.0004502590239110577
7107.3946  0.0008544366540838967
7108.4012  0.0013966066128723402
7109.5959  0.0022506464083151866
7110.6032  0.003554979571205377
7111.7987  0.0073280024380552615
7112.9946  0.022380488176272213
7114.0029  0.035687620138936685
7115.1996  0.04287051732042604
7116.3967  0.037254498188542554
7117.5942  0.040801971789105065
7118.6039  0.044486766111352306
7119.8021  0.05474060506426888
7121.0009  0.08276456430572636
7122.2     0.1466259730868939
7123.3995  0.2621830432178373
7124.5995  0.38261296506805215
