# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 4 layers
# Sample.formula:FeS2
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Pyrite
# Scan.number:Scan2
# Sample.id:621h02
# Scan.start_time:2002-03-16
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:13-BM-D (GSECARS)
# Beamline.website:https://gsecars.uchicago.edu/gsecars-facility/sector-13-beamlines/13-bmd/
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1 x 10^-4
# Beamline.flux:1 x 10^9 ph/s at 10 keV
# Beamline.spot_size:50 mm x 4 mm
# Beamline.energy_range:4.5 - 100.0
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.5:Mutrans
# Energy    I0       Itrans          Mutrans               
7147.249    305369   82601.396025    0.9211739089163026    
7148.418    305508   83592.396488    0.9103820815218796    
7149.606    305329   84399.399257    0.9007917503335019    
7150.814    305424   85350.403358    0.890542858860949     
7152.041    305227   86151.404179    0.8811477437553362    
7153.286    305483   86924.396107    0.8735328111780482    
7154.551    305317   87366.401026    0.8682496524066894    
7155.834    305327   87915.403956    0.8623870546732068    
7157.137    305362   88733.399064    0.8537818355917238    
7158.459    305483   89927.395724    0.8415795602262476    
7159.8      305185   91348.3984      0.8259113761655134    
7161.16     305200   92582.40376     0.8133336273666701    
7162.539    305144   93364.39814     0.8052479182609056    
7163.937    305132   93249.40426     0.8063703872247794    
7165.354    305025   92470.40436     0.8139328231447067    
7166.791    305071   91644.396884    0.8225163097388541    
7168.246    304988   91004.397686    0.8288534472013129    
7169.72     304957   90728.395897    0.8316154490338316    
7171.214    303977   90390.397612    0.8320986441231555    
7172.726    306335   90868.397127    0.8344064275278137    
7174.258    305331   90085.402229    0.8394597487533473    
7175.809    305180   89530.403049    0.8448083872211625    
7177.378    304691   88632.397257    0.8527837404396906    
7178.967    304825   87952.398452    0.8604431728755856    
7180.575    304819   87446.402063    0.8658527752133272    
7182.203    304876   87137.395936    0.8693590442533263    
7183.849    304881   86864.396047    0.8723266109708814    
7185.514    304902   86437.396627    0.8770275083740351    
7187.198    304750   85940.403061    0.8819833626732048    
7188.901    304618   85583.399444    0.8854920777914822    
7190.624    304729   85233.398402    0.8896902114497844    
7192.365    304624   84667.39911     0.8956342825009649    
7194.126    304796   84055.399588    0.9029904008933182    
7195.906    304913   83392.400992    0.9108015844342813    
7197.705    304714   82811.399892    0.9167649418897558    
7199.522    304745   82659.400903    0.9185890598034158    
7201.359    304572   83093.402998    0.9131280897527766    
7203.215    304614   84597.397296    0.896381560272948     
7205.09     304650   86635.397286    0.8740970091795853    
7206.984    304423   88543.395955    0.8529010582507008    
7208.897    304251   90276.40392     0.834133501322793     
7210.83     304339   91919.400513    0.8174373046606467    
7212.781    304465   93631.403811    0.8004654534732196    
7214.751    304344   95267.396772    0.7837951288125569    
7216.741    304357   96663.401341    0.7701492893107116    
7218.75     304283   97930.396783    0.757669289664844     
7220.777    304310   98775.403237    0.7496697578878231    
7222.824    304357   99185.402824    0.745918034021872     
7224.89     304315   99025.396659    0.7473071258269073    
7226.975    304319   98476.396827    0.7525498301687351    
7229.079    304265   97681.39707     0.760008778036581     
7231.202    304222   97058.403772    0.7658952721053857    
7233.344    304141   96622.401089    0.7698805026342965    
7235.505    304231   96218.397469    0.7741008391851586    
7237.685    304163   95817.404316    0.7778195409507843    
7239.885    304198   95347.403954    0.7825539308373554    
7242.103    304019   94855.39741     0.7868674066260793    
7244.341    304007   94398.40034     0.7913738405769081    
7246.597    304050   93846.396092    0.797024475978536     
7248.873    303881   93438.398295    0.8006004583342909    
7251.167    304021   93591.398039    0.799494547452013     
7253.481    303919   94416.402989    0.7909220682222781    
7255.814    303971   95636.400133    0.7790043849840821    
7258.166    303951   96810.397839    0.767463868626299     
7260.537    304123   97551.40061     0.7608224763181446    
7262.927    303754   97553.404186    0.7596609641304809    
7265.336    303422   97278.400497    0.7612879843533874    
7267.765    304213   97112.404216    0.7653441512294369    
7270.212    304372   96752.399973    0.7693298521564351    
7272.679    303800   96434.400552    0.7706574156128003    
7275.164    303768   96529.402606    0.7696319431705765    
7277.668    303769   97014.402236    0.7649199443243891    
7280.192    303936   97837.403512    0.7574895967936691    
7282.735    303644   98624.396751    0.7490478888195167    
7285.297    304254   99600.399822    0.741671449148709     
7287.877    305223   100524.397275   0.7359753730762038    
7290.478    305548   101160.400993   0.7310430387877047    
7293.097    305571   101824.399638   0.724958788472674     
7295.735    305599   102761.39886    0.7164272340600972    
7298.392    305554   104173.400415   0.7034495510002032    
7301.068    305441   105556.40282    0.6906937086755554    
7303.764    304737   106440.40058    0.6806767245021835    
7306.478    306215   107664.398699   0.6744717694946667    
7309.211    305425   107769.398934   0.6711244016499911    
7311.964    305631   108118.39665    0.6687169874840411    
7314.736    305492   108516.397619   0.6648321403650168    
7317.526    305331   108927.403136   0.6607796426078553    
7320.336    305591   109203.4009     0.6591996624064752    
7323.165    305413   109129.40272    0.6592892266061184    
7326.013    305373   108641.403249   0.6633824610194158    
7328.88     305099   107921.403207   0.6687936627204254    
7331.766    305523   107574.395803   0.6731300940407905    
7334.671    305074   107065.400796   0.676208487046284     
7337.596    305182   107050.396612   0.6766733365310775    
7340.539    305300   107344.404572   0.6744567166896358    
7343.501    305317   108063.398833   0.6682286179982647    
7346.483    305293   108860.404765   0.6612413874476736    
7349.483    305162   109658.400419   0.6539662719845981    
7352.503    304986   110368.401427   0.6473517865585391    
7355.542    304917   110967.404876   0.6420467071461854    
7358.6      305066   111339.394745   0.6393578054966756    
7361.676    305087   111432.394743   0.6386370583065276    
7364.772    304731   111450.396807   0.637386640489769     
7367.887    304884   111953.39587    0.6336224039786742    
7371.021    305111   112828.400497   0.6269980965951824    
7374.175    304985   113687.399818   0.6194740077071892    
7377.347    304910   114453.399753   0.6129249831791127    
7380.538    304699   115098.39993    0.6069867356830678    
7383.749    304984   115784.399442   0.6022756682302487    
7386.978    304841   116221.399594   0.5982903059981934    
7390.227    304467   116493.39975    0.5949361173435501    
7393.494    304650   116879.40032    0.5923892295204299    
7396.781    304697   117567.400475   0.5870126586862893    
7400.087    304742   118623.399767   0.578738977660994     
7403.412    304816   119830.399535   0.5694430793692388    
7406.755    304658   120751.399918   0.5617520736725317    
7410.119    304605   121245.400527   0.5577473779815288    
7413.5      303795   121166.400527   0.5558554848165792    
7416.902    305304   122094.399451   0.5533390036601772    
7420.322    304548   122173.400378   0.5503979392829192    
7423.761    304397   122540.399872   0.5471095031701807    
7427.22     304707   123307.400562   0.5421968598267186    
7430.697    304458   123839.400215   0.5373774686216946    
7434.194    304310   124247.399934   0.5338255707634627    
7437.709    304338   124520.399747   0.5318472462632994    
7441.244    304342   124688.400494   0.530591155417329     
7444.798    304576   124938.399958   0.5294298219824626    
7448.371    304397   125012.399763   0.5283196869107006    
7451.962    304464   125002.399555   0.5286020022992272    
7455.574    304333   125241.400213   0.5264000589468752    
7459.204    304131   125885.400046   0.520950133897228     
7462.853    304376   126842.399783   0.5145826556181414    
7466.521    304297   127434.399461   0.5099577466786775    
7470.208    304048   127998.399979   0.5050329764178442    
7473.915    304975   129331.400471   0.4981499677441763    
7477.64     305708   130592.399453   0.49127994210853015   
7481.385    306082   131540.40015    0.4856253835691203    
7485.148    305961   132267.400234   0.4800680755611353    
7488.931    306201   133023.399529   0.4754437499156587    
7492.733    306134   133616.399537   0.47105323198137833   
7496.554    306039   134171.399697   0.4668615428053241    
7500.394    305977   134654.399959   0.463290245643009     
7504.253    305156   134834.400331   0.45950570666569585   
7508.131    306748   136215.399627   0.4548142643131175    
7512.028    306054   136604.399934   0.4500004614627347    
7515.944    305949   137201.400285   0.44557503042211644   
7519.879    305906   137852.399679   0.44098939989582103   
7523.834    305935   138799.399416   0.4346376988418126    
7527.807    305891   139820.399643   0.42760723851740634   
7531.8      305816   140797.399474   0.4208255258218001    
7535.812    305895   141389.399972   0.41712110540299896   
7539.842    305839   141723.399861   0.414729054516551     
7543.892    305840   142191.400291   0.4116305283740794    
7547.961    305863   142828.399943   0.4074960210443714    
7552.049    305740   143459.39989    0.40297041358527413   
7556.156    305560   144201.399298   0.3975629092279705    
7560.282    305668   145053.399296   0.39235310466608986   
7564.427    305785   145765.400087   0.38810648216010213   
7568.591    305684   146091.399328   0.38569396885933477   
7572.774    305582   146484.399544   0.3828525446544979    
7576.977    305523   146958.399803   0.37963151689347424   
7581.198    305558   147365.399485   0.3771373515237764    
7585.439    305647   147771.399442   0.3748229448907145    
7589.698    305208   148027.399944   0.3718422634084939    
7593.977    306038   149251.400714   0.3666500047778293    
7598.275    305315   149728.40065    0.3614228236363127    
7602.592    305573   150911.400447   0.35481346557476107   
7606.928    305378   151715.399418   0.34921398148566174   
7611.283    305425   152788.400255   0.34272841394305054   
7615.657    305488   153702.400417   0.337311228750771     
7620.05     305297   154525.399872   0.3316987522089685    
7624.462    305001   155293.400688   0.3261219037774003    
7628.894    305246   156370.399532   0.3203751562004211    
7633.344    305391   157304.400173   0.3152192689167736    
7637.813    305277   158101.40029    0.31011337576351905   
7642.302    305129   158730.400385   0.30592164895481555   
7646.81     305185   159571.399863   0.30112282364479315   
7651.336    305107   160185.400057   0.29726926754586186   
7655.882    304968   160597.400157   0.29442391079584496   
7660.447    303292   160361.399957   0.2906228701706309    
7665.03     306701   162885.399279   0.2864461209117036    
7669.634    304931   162775.399187   0.2816365046201943    
7674.255    304917   163805.400085   0.2756589222547405    
7678.896    304978   164763.399576   0.27036096469949084   
7683.557    305007   165569.400811   0.2658593664606323    
7688.236    304909   166328.400683   0.26125409202366595   
7692.935    304867   167210.399374   0.25614883861210846   
7697.652    304843   168169.399204   0.25069442594816294   
7702.389    304732   168997.400274   0.2457310264220821    
7707.144    304761   169775.399289   0.24149940968054082   
7711.919    304780   170587.399916   0.23706913352133693   
7716.712    304730   171231.400092   0.2333697652026156    
7721.525    304752   171930.399542   0.22960497362172733   
7726.357    304652   172706.399764   0.22505950586071827   
7731.208    304949   173670.399919   0.22073953855202286   
7736.078    301749   172723.40085    0.2159591152941067    
7740.967    309843   178023.399154   0.21242796209074194   
7745.875    306494   176786.399144   0.20876377029661633   
7750.803    306086   177554.399536   0.2034323578726602    
7755.75     306137   178456.400089   0.19882180554120377   
7760.715    306150   179480.399669   0.19347878364880666   
7765.699    306231   180522.399878   0.18828150113886866   
7770.703    306178   181586.399761   0.18258985624420007   
7775.726    305604   182177.399744   0.17776745448006842   
7780.767    306396   183769.400404   0.1720167743584605    
7785.828    306122   184742.400553   0.16620697434013537   
7790.908    306044   185782.399272   0.1606858871508143    
7796.007    305959   186777.400482   0.15539932268648737   
7801.125    305944   187680.400465   0.15081573369366474   
7806.262    305753   188583.399453   0.1457125312271381    
7811.418    305897   189695.39927    0.14062428748731168   
7816.594    305849   190572.400238   0.13613715876279425   
