# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Peter Blanchard, Miranda Vu, Joel Reid, Erika Bergen, Jeff Warner
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:Fe2O3
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Hematite
# Scan.number:scan3
# Sample.id:lop9zu
# Scan.start_time:2022-03-21
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:IDEAS
# Beamline.scan_mode:Transmission
# Beamline.website:https://ideas.lightsource.ca/
# Beamline.detector:Ionization chamber
# Beamline.energy_range:1.8 - 13.0
# Beamline.flux:5E10-7E11 ph/s
# Mono.name:InSb(111), Ge(220)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Irefer
# Column.5:Mutrans
# Energy I0       Itrans   Irefer  Mutrans
6912     1020700  773025   728261  0.28618019108825715
6922     1080070  823293   770071  0.2805420503915389
6932     1079490  832688   779187  0.2701756881707531
6942     1079950  842438   789246  0.26039289646356073
6952     1084900  856938   803516  0.24949582003753504
6962     1080800  862213   809411  0.24083997343261979
6972     1075790  867941   815568  0.23101127992538498
6982     1075420  878321   826411  0.22034103982367187
6992     1069670  882944   831450  0.21108534881292562
7002     1062560  886398   835650  0.20186224769559774
7012     1064190  897212   847286  0.1926218035202077
7022     1053300  896760   847888  0.1840890679570344
7032     1050930  904025   855934  0.17508580821090236
7042     1052650  914756   865499  0.16621889959613767
7052     1056860  934490   887533  0.1510827504017415
7062     1056810  945680   899404  0.14065828130138563
7072     1046790  947772   903237  0.13042075452639768
7082     1061370  971635   925518  0.12079580071872002
7082.5   1060730  970604   924548  0.12119573490807296
7083     1061010  971938   925709  0.12022790327012044
7083.5   1061380  973238   926936  0.11936609670415281
7084     1062080  974746   928130  0.11859065631315424
7084.5   1062010  974738   928306  0.11854032206205996
7085     1062210  975698   929210  0.1178458963204701
7085.5   1061990  976071   929387  0.11733180592862662
7086     1061980  975678   928949  0.11767487881974456
7086.5   1061590  976466   929781  0.11665026118934164
7087     1060960  976157   929333  0.11640852373842953
7087.5   1060430  976018   929047  0.11609688159388158
7088     1059900  975778   928761  0.11587532328787194
7088.5   1059680  975347   928289  0.11607962172964428
7089     1058790  975317   928077  0.11537352523249617
7089.5   1058050  975511   928292  0.11459016529053552
7090     1057210  974563   927280  0.11474547054091305
7090.5   1056640  973814   926544  0.11494570115051995
7091     1055870  974288   926790  0.11388532412977458
7091.5   1055280  973776   926237  0.11385628806920557
7092     1054900  973269   925927  0.11399640504109723
7092.5   1054720  974627   926861  0.11263128858042143
7093     1054230  973610   925757  0.11313663903563391
7093.5   1054000  974452   926469  0.11219225688347925
7094     1053460  974433   926068  0.11176224455557231
7094.5   1052900  974266   925615  0.11144793366780645
7095     1052800  974266   925552  0.1113650828836376
7095.5   1052880  975016   926040  0.11076012119808622
7096     1052640  974932   925933  0.11063641584507351
7096.5   1051980  975014   925538  0.11001595581599873
7097     1051640  975119   925382  0.1096400516188669
7097.5   1050770  974561   924385  0.10941742458584222
7098     1050100  974003   923467  0.10936063686865384
7098.5   1049470  973058   921867  0.10968388386722282
7099     1048560  971135   918742  0.11065275775562777
7099.5   1047720  970285   917437  0.11071750649761966
7100     1047190  970308   917220  0.11025545871506492
7100.5   1046710  970468   916942  0.10971170773490788
7101     1045840  970289   916189  0.10914728322924379
7101.5   1044540  969321   914768  0.10893300036458682
7102     1043660  969349   914640  0.1081726064553995
7102.5   1042690  969633   914553  0.10710597273499854
7103     1041250  968874   913246  0.10658353736658131
7103.5   1039910  967855   911328  0.10637815236564895
7104     1038850  967170   909548  0.10610613813072352
7104.5   1037680  966004   907134  0.10617542134168836
7105     1036380  964782   904406  0.10618608584745118
7105.5   1035450  963826   901938  0.10626776015202702
7106     1034980  963472   899880  0.10619216859628422
7106.5   1034120  962722   896636  0.10614633689296228
7107     1033430  961889   892830  0.1063192019742241
