*Spectrum*
- Title: Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: transmission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 7004.290158-7963.25018 eV (Resol. 0.36 eV)
- Observation geometry: 
- Spatial observation mode: single spot
- Data analysis: raw averaged spectra
- Quality flag: 4
- File name: XAS_trans_Fe2O3.data.txt
- Comments: 

*Sample*
- Name: Pellet of natural hematite Fe2O3 mixed with BN
- Origin(s): natural terrestrial; commercial
- Type: pellet
- Temperature: 293.0 +/- 2.0 K
- Pressure: 

*Experiment*
- Title: Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Experimentalist(s): Testemale Denis; Sanchez-Valle Carmen
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_002

*Data reference*
- Testemale, Denis; Sanchez-Valle, Carmen (2016): Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_002




energy(ev)	transmission(au)
7210.940163	0.37267
7212.910163	0.36958
7214.860163	0.36806
7216.830163	0.36783
7218.820163	0.37023
7220.830163	0.37369
7222.870163	0.37317
7224.930163	0.37297
7227.040163	0.37030
7229.100164	0.36624
7231.180164	0.36089
7233.350164	0.35559
7235.490164	0.35407
7237.660164	0.35327
7239.840164	0.35250
7242.050164	0.35064
7244.290164	0.34720
7246.470164	0.34061
7248.820164	0.33422
7251.010164	0.32896
7253.380164	0.32560
7255.650164	0.32381
7258.050164	0.32459
7260.360164	0.32732
7262.730164	0.33077
7265.160164	0.33202
7267.550164	0.33479
7269.970164	0.33416
7272.440165	0.33217
7274.910165	0.33042
7277.390165	0.33125
7279.870165	0.33239
7282.440165	0.33188
7284.960165	0.32940
7287.530165	0.32585
7290.100165	0.32142
7292.710165	0.31648
7295.370165	0.31125
7297.960165	0.30576
7300.660165	0.29907
7303.310165	0.29168
7305.990165	0.28335
7308.720165	0.27534
7311.450165	0.26736
7314.220165	0.25976
7316.970166	0.25099
7319.780166	0.24408
7322.560166	0.23982
7325.430166	0.23815
7328.230166	0.23842
7331.130166	0.24157
7334.010166	0.24504
7336.910166	0.24846
7339.810166	0.25151
7342.770166	0.25292
7345.740166	0.25263
7348.700166	0.24935
7351.700166	0.24379
7354.710166	0.23911
7357.770166	0.23383
7360.810167	0.22815
7363.900167	0.22173
7366.950167	0.21593
7370.080167	0.20879
7373.230167	0.20271
7376.360167	0.19669
7379.540167	0.19271
7382.740167	0.18887
7385.880167	0.18512
7389.170167	0.18024
7392.410167	0.17706
7395.640167	0.17497
7398.960167	0.17440
7402.230167	0.17419
7405.560168	0.17487
7408.910168	0.17501
7412.230168	0.17452
7415.600168	0.17280
7419.030168	0.17011
7422.440168	0.16631
7425.850168	0.16123
7429.290168	0.15509
7432.800168	0.14910
7436.250168	0.14168
7439.760168	0.13463
7443.350168	0.12810
7446.830168	0.12231
7450.420169	0.11737
7454.010169	0.11370
7457.570169	0.11097
7461.240169	0.10819
7464.860169	0.10672
7468.530169	0.10447
7472.210169	0.10232
7475.850169	0.10052
7479.620169	0.09842
7483.350169	0.09591
7487.100169	0.09261
7490.860169	0.08874
7494.620170	0.08442
7498.470170	0.08032
7502.270170	0.07608
7506.130170	0.07215
7509.980170	0.06790
7513.920170	0.06378
7517.800170	0.05932
7521.670170	0.05536
7525.650170	0.05200
7529.630170	0.04788
7533.620170	0.04426
7537.580171	0.04036
7541.570171	0.03673
7545.660171	0.03367
7549.680171	0.03388
7553.790171	0.02582
7557.820171	0.02203
7562.010171	0.01816
7566.100171	0.01480
7570.240171	0.01048
7574.410171	0.00638
7578.630171	0.00236
7582.810172	-0.00181
7587.040172	-0.00577
7591.270172	-0.00958
7595.570172	-0.00915
7599.820172	-0.01497
7604.130172	-0.02248
7608.430172	-0.02643
7612.810172	-0.03070
